EXPNUM,EXPRA,EXPDEC,EXPTIME,AIRMASS,BAND,NITE,MJD_OBS,FIELD,OBJECT,PROGRAM
175613,180.5,-21.2964,120.0,1.03,z,20130205,56329.3528474,RXJ1203_z_1_outrigger,RXJ1203,Setting the Scale: Determining the Absolute Mass Normalization and &
187637,178.006,-21.8805,60.0,1.12,g,20130319,56371.2763901,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187638,178.006,-21.8805,60.0,1.12,r,20130319,56371.2774101,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187639,178.006,-21.8805,60.0,1.13,i,20130319,56371.2784296,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187640,178.006,-21.8805,60.0,1.13,z,20130319,56371.2794468,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187641,177.845,-21.9555,267.0,1.13,g,20130319,56371.2804705,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187642,177.845,-21.9549,267.0,1.14,g,20130319,56371.283888,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187643,177.846,-21.9544,267.0,1.16,g,20130319,56371.2873268,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187644,177.845,-21.9555,267.0,1.17,r,20130319,56371.2907515,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187645,177.845,-21.9549,267.0,1.18,r,20130319,56371.2941796,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187646,177.846,-21.9544,267.0,1.2,r,20130319,56371.2975972,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187647,177.845,-21.9555,333.0,1.21,i,20130319,56371.3010158,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187648,177.845,-21.9549,333.0,1.23,i,20130319,56371.3052016,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187649,177.846,-21.9544,333.0,1.25,i,20130319,56371.3094016,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187650,177.845,-21.9555,333.0,1.27,z,20130319,56371.3135903,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187651,177.845,-21.9549,333.0,1.3,z,20130319,56371.3177884,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
187652,177.846,-21.9544,333.0,1.32,z,20130319,56371.3219908,,Field40,DECam Search for the Stellar Component of the Magellanic Leading Arm
196234,179.876,-19.2652,38.0,1.1,g,20130412,56395.2052465,,J1159-19,The effect of the group environment on the formation of UCDs
196235,179.932,-19.3214,38.0,1.1,g,20130412,56395.2060351,,J1159-19,The effect of the group environment on the formation of UCDs
196236,179.932,-19.3775,38.0,1.1,g,20130412,56395.2068066,,J1159-19,The effect of the group environment on the formation of UCDs
196237,179.876,-19.4336,38.0,1.11,g,20130412,56395.2075696,,J1159-19,The effect of the group environment on the formation of UCDs
196238,179.819,-19.3775,38.0,1.11,g,20130412,56395.2083305,,J1159-19,The effect of the group environment on the formation of UCDs
196239,179.819,-19.3214,38.0,1.11,g,20130412,56395.2091059,,J1159-19,The effect of the group environment on the formation of UCDs
196246,179.876,-19.2652,38.0,1.12,i,20130412,56395.2137123,,J1159-19,The effect of the group environment on the formation of UCDs
196247,179.932,-19.3214,38.0,1.13,i,20130412,56395.2144843,,J1159-19,The effect of the group environment on the formation of UCDs
196248,179.932,-19.3775,38.0,1.13,i,20130412,56395.215262,,J1159-19,The effect of the group environment on the formation of UCDs
196249,179.876,-19.4336,38.0,1.13,i,20130412,56395.2160399,,J1159-19,The effect of the group environment on the formation of UCDs
196250,179.819,-19.3775,38.0,1.13,i,20130412,56395.2168226,,J1159-19,The effect of the group environment on the formation of UCDs
196251,179.819,-19.3214,38.0,1.14,i,20130412,56395.2175946,,J1159-19,The effect of the group environment on the formation of UCDs
196252,179.876,-19.2652,94.0,1.14,z,20130412,56395.2183936,,J1159-19,The effect of the group environment on the formation of UCDs
196253,179.932,-19.3214,94.0,1.14,z,20130412,56395.2198202,,J1159-19,The effect of the group environment on the formation of UCDs
196254,179.932,-19.3775,94.0,1.15,z,20130412,56395.2212566,,J1159-19,The effect of the group environment on the formation of UCDs
196255,179.876,-19.4336,94.0,1.15,z,20130412,56395.2226737,,J1159-19,The effect of the group environment on the formation of UCDs
196256,179.819,-19.3775,94.0,1.16,z,20130412,56395.2240904,,J1159-19,The effect of the group environment on the formation of UCDs
196257,179.819,-19.3214,94.0,1.16,z,20130412,56395.2255158,,J1159-19,The effect of the group environment on the formation of UCDs
196258,179.876,-19.2652,38.0,1.17,g,20130412,56395.2269284,,J1159-19,The effect of the group environment on the formation of UCDs
196259,179.932,-19.3214,38.0,1.17,g,20130412,56395.2277066,,J1159-19,The effect of the group environment on the formation of UCDs
196260,179.932,-19.3775,38.0,1.17,g,20130412,56395.2284718,,J1159-19,The effect of the group environment on the formation of UCDs
196261,179.876,-19.4336,38.0,1.18,g,20130412,56395.2292476,,J1159-19,The effect of the group environment on the formation of UCDs
196262,179.819,-19.3775,38.0,1.18,g,20130412,56395.2300354,,J1159-19,The effect of the group environment on the formation of UCDs
196263,179.819,-19.3214,38.0,1.18,g,20130412,56395.2308118,,J1159-19,The effect of the group environment on the formation of UCDs
196270,179.876,-19.2652,38.0,1.2,i,20130412,56395.2353459,,J1159-19,The effect of the group environment on the formation of UCDs
196271,179.932,-19.3214,38.0,1.2,i,20130412,56395.2361319,,J1159-19,The effect of the group environment on the formation of UCDs
196272,179.932,-19.3775,38.0,1.21,i,20130412,56395.2369093,,J1159-19,The effect of the group environment on the formation of UCDs
196273,179.876,-19.4336,38.0,1.21,i,20130412,56395.2377001,,J1159-19,The effect of the group environment on the formation of UCDs
196274,179.819,-19.3775,38.0,1.22,i,20130412,56395.2384798,,J1159-19,The effect of the group environment on the formation of UCDs
196275,179.819,-19.3214,38.0,1.22,i,20130412,56395.2392532,,J1159-19,The effect of the group environment on the formation of UCDs
196276,179.876,-19.2652,94.0,1.22,z,20130412,56395.2400243,,J1159-19,The effect of the group environment on the formation of UCDs
196277,179.932,-19.3214,94.0,1.23,z,20130412,56395.2414469,,J1159-19,The effect of the group environment on the formation of UCDs
196278,179.932,-19.3775,94.0,1.23,z,20130412,56395.2428675,,J1159-19,The effect of the group environment on the formation of UCDs
196279,179.876,-19.4336,94.0,1.24,z,20130412,56395.2443029,,J1159-19,The effect of the group environment on the formation of UCDs
196280,179.819,-19.3775,94.0,1.25,z,20130412,56395.2457265,,J1159-19,The effect of the group environment on the formation of UCDs
196281,179.819,-19.3214,94.0,1.26,z,20130412,56395.2471595,,J1159-19,The effect of the group environment on the formation of UCDs
196614,179.876,-19.2652,38.0,1.08,g,20130413,56396.0767277,,J1159-19,The effect of the group environment on the formation of UCDs
196615,179.932,-19.3214,38.0,1.08,g,20130413,56396.0775271,,J1159-19,The effect of the group environment on the formation of UCDs
196616,179.932,-19.3775,38.0,1.07,g,20130413,56396.0783148,,J1159-19,The effect of the group environment on the formation of UCDs
196617,179.876,-19.4336,38.0,1.07,g,20130413,56396.0791074,,J1159-19,The effect of the group environment on the formation of UCDs
196618,179.819,-19.3775,38.0,1.07,g,20130413,56396.0798864,,J1159-19,The effect of the group environment on the formation of UCDs
196619,179.819,-19.3214,38.0,1.07,g,20130413,56396.0806622,,J1159-19,The effect of the group environment on the formation of UCDs
196626,179.876,-19.2652,38.0,1.06,i,20130413,56396.085246,,J1159-19,The effect of the group environment on the formation of UCDs
196627,179.932,-19.3214,38.0,1.06,i,20130413,56396.0860242,,J1159-19,The effect of the group environment on the formation of UCDs
196628,179.932,-19.3775,38.0,1.06,i,20130413,56396.0868065,,J1159-19,The effect of the group environment on the formation of UCDs
196629,179.876,-19.4336,38.0,1.06,i,20130413,56396.087574,,J1159-19,The effect of the group environment on the formation of UCDs
196630,179.819,-19.3775,38.0,1.05,i,20130413,56396.0883412,,J1159-19,The effect of the group environment on the formation of UCDs
196631,179.819,-19.3214,38.0,1.05,i,20130413,56396.0891317,,J1159-19,The effect of the group environment on the formation of UCDs
196632,179.876,-19.2652,94.0,1.05,z,20130413,56396.0899094,,J1159-19,The effect of the group environment on the formation of UCDs
196633,179.932,-19.3214,94.0,1.05,z,20130413,56396.091343,,J1159-19,The effect of the group environment on the formation of UCDs
196634,179.932,-19.3775,94.0,1.05,z,20130413,56396.0927778,,J1159-19,The effect of the group environment on the formation of UCDs
196635,179.876,-19.4336,94.0,1.05,z,20130413,56396.0942071,,J1159-19,The effect of the group environment on the formation of UCDs
196636,179.819,-19.3775,94.0,1.04,z,20130413,56396.0956446,,J1159-19,The effect of the group environment on the formation of UCDs
196637,179.819,-19.3214,94.0,1.04,z,20130413,56396.0970618,,J1159-19,The effect of the group environment on the formation of UCDs
196638,179.876,-19.2652,38.0,1.04,g,20130413,56396.0984985,,J1159-19,The effect of the group environment on the formation of UCDs
196639,179.932,-19.3214,38.0,1.04,g,20130413,56396.0992588,,J1159-19,The effect of the group environment on the formation of UCDs
196640,179.932,-19.3775,38.0,1.04,g,20130413,56396.1000263,,J1159-19,The effect of the group environment on the formation of UCDs
