index,ramin,ramax,decmin,decmax
0,350,360,-7.315642,2.705224
1,340,350,-7.315642,2.705224
2,330,340,-7.315642,2.705224
3,320,330,-7.315642,2.705224
4,310,320,-7.315642,2.705224
5,300,310,-7.315642,2.705224
6,290,300,-7.315642,2.705224
7,280,290,-7.315642,2.705224
8,270,280,-7.315642,2.705224
9,260,270,-7.315642,2.705224
10,250,260,-7.315642,2.705224
11,240,250,-7.315642,2.705224
12,230,240,-7.315642,2.705224
13,220,230,-7.315642,2.705224
14,210,220,-7.315642,2.705224
15,200,210,-7.315642,2.705224
16,190,200,-7.315642,2.705224
17,180,190,-7.315642,2.705224
18,170,180,-7.315642,2.705224
19,160,170,-7.315642,2.705224
20,150,160,-7.315642,2.705224
21,140,150,-7.315642,2.705224
22,130,140,-7.315642,2.705224
23,120,130,-7.315642,2.705224
24,110,120,-7.315642,2.705224
25,100,110,-7.315642,2.705224
26,90,100,-7.315642,2.705224
27,80,90,-7.315642,2.705224
28,70,80,-7.315642,2.705224
29,60,70,-7.315642,2.705224
30,50,60,-7.315642,2.705224
31,40,50,-7.315642,2.705224
32,30,40,-7.315642,2.705224
33,20,30,-7.315642,2.705224
34,10,20,-7.315642,2.705224
35,0,10,-7.315642,2.705224
36,348,360,-15.82973,-7.315642
37,336,348,-15.82973,-7.315642
38,324,336,-15.82973,-7.315642
39,312,324,-15.82973,-7.315642
40,300,312,-15.82973,-7.315642
41,288,300,-15.82973,-7.315642
42,276,288,-15.82973,-7.315642
43,264,276,-15.82973,-7.315642
44,252,264,-15.82973,-7.315642
45,240,252,-15.82973,-7.315642
46,228,240,-15.82973,-7.315642
47,216,228,-15.82973,-7.315642
48,204,216,-15.82973,-7.315642
49,192,204,-15.82973,-7.315642
50,180,192,-15.82973,-7.315642
51,168,180,-15.82973,-7.315642
52,156,168,-15.82973,-7.315642
53,144,156,-15.82973,-7.315642
54,132,144,-15.82973,-7.315642
55,120,132,-15.82973,-7.315642
56,108,120,-15.82973,-7.315642
57,96,108,-15.82973,-7.315642
58,84,96,-15.82973,-7.315642
59,72,84,-15.82973,-7.315642
60,60,72,-15.82973,-7.315642
61,48,60,-15.82973,-7.315642
62,36,48,-15.82973,-7.315642
63,24,36,-15.82973,-7.315642
64,12,24,-15.82973,-7.315642
65,0,12,-15.82973,-7.315642
66,348,360,-15.82973,-7.315642
67,336,348,-15.82973,-7.315642
68,324,336,-15.82973,-7.315642
69,312,324,-15.82973,-7.315642
70,300,312,-15.82973,-7.315642
71,288,300,-15.82973,-7.315642
72,276,288,-15.82973,-7.315642
73,264,276,-15.82973,-7.315642
74,252,264,-15.82973,-7.315642
75,240,252,-15.82973,-7.315642
76,228,240,-15.82973,-7.315642
77,216,228,-15.82973,-7.315642
78,204,216,-15.82973,-7.315642
79,192,204,-15.82973,-7.315642
80,180,192,-15.82973,-7.315642
81,168,180,-15.82973,-7.315642
